entry,key,metric_name,family,family_name,business_question,formula,numerator,denominator,window,filters,grain,unit,required_fields,interpretation,common_failure,verification,common_variants,owned_by
B.2.11,customer_count,Number of customers,B.2,"Revenue, margin, and volume",How many distinct people bought?,Count of distinct customer_id,Distinct customer_id values,None - it is a count,Stated period,"Stated filters; lines carrying no customer_id cannot be counted and must be resolved, not dropped silently",Stated population,Count of customers,customer_id,The denominator of every customer-grain metric in Section B.3.,"Letting a group-by drop rows whose customer_id is missing. pandas excludes missing group keys by default, so groups vanish without comment and the denominator shrinks unannounced.",The customer count of a roll-up must equal the count of distinct non-null customer_id values in the lines it was built from.,,"Chapter 4, Section 4.8"
B.2.12,revenue_growth_rate,Revenue growth rate,B.2,"Revenue, margin, and volume",How much did revenue change against its comparison period?,(Current-period revenue − comparison-period revenue) / comparison-period revenue,Change in revenue between the two periods,Comparison-period revenue. A comparison period of zero leaves the growth rate undefined; report the absolute change instead.,"Two periods of equal length, both named; the comparison period is part of the metric, not context for it","Identical filters in both periods, including store roster",Stated population,Percentage,"line_revenue, order_date","Meaningless without its comparison period. Year over year, quarter over quarter, and against plan are three different numbers.","Comparing periods whose store rosters differ, so an opening or closing is read as growth. Chapter 2's resort stores grew 40 percent partly because the prior year held a partial season.","Confirm both periods carry the same length, the same filters, and a stated store roster. State the comparison period in the same sentence as the number.",,"Chapter 2, Section 2.7"
B.2.13,variance_from_target,Variance from target or baseline,B.2,"Revenue, margin, and volume",How far is the outcome from the number it was measured against?,Actual − baseline for a dollar variance; (actual − baseline) / baseline for a percentage variance,Actual less the declared baseline,"The baseline, for the percentage form only. A baseline of zero leaves the percentage variance undefined; report the dollar variance instead.",The baseline's own period,The baseline's own filters,Stated population,Dollars for the difference; percentage for the ratio; never both under one label,"The actual, and a baseline declared before results were inspected","The variance is only as meaningful as the baseline. A target set after the results are known is a description, not a benchmark.",Reporting a percentage variance and a dollar variance under one word and letting the reader assume which. State the unit.,Confirm the baseline was declared in advance and record where. Recompute both forms and check they tell the same story.,,"Chapter 2, Section 2.7"
B.2.14,pct_change_vs_pct_points,Percentage change and percentage-point change,B.2,"Revenue, margin, and volume","Did the quantity move by a share of itself, or by an amount on its own scale?","Percentage change = (new − old) / old. Percentage-point change = new − old, when both are already percentages","For percentage change, the difference; for percentage-point change, the difference itself is the answer","For percentage change, the old value — an old value of zero leaves it undefined, and the change should be reported in levels; for percentage-point change, none",Two stated periods,Identical in both periods,Stated population,"Percentage, or percentage points - these are different units and are never interchangeable",The two values being compared,A repeat-order share moving from 20 to 24 percent rose by 4 percentage points and by 20 percent. Both are true; they are not the same claim.,Reporting the larger of the two because it is more persuasive. Chapter 13 names this as framing: presenting a quantity in the form that produces the intended reaction where the alternative framing is equally true.,"Say the unit aloud. If the quantity being compared is itself a percentage, the difference is in points and the ratio is in percent.",,"Chapter 13, Section 13.15"
B.3.1,aov,Average order value (AOV),B.3,Basket and customer value,What does a typical purchase occasion come to?,"Sum of line_revenue / count of distinct order_id. In Tableau, SUM([line_revenue]) / COUNTD([order_id])",Net revenue on the included lines,Distinct orders on the same included lines,"Stated period, both ends inclusive","Stated channel, store, metro, and customer filters, applied identically to numerator and denominator","One order. It is an order-grain mean: it is ordinarily computed from a line-grain file, but as revenue over distinct orders rather than as an average of line values.",Dollars,"line_revenue, order_id","Basket size in dollars. It knows nothing about frequency, so a store can lead on average order value and trail badly on revenue per customer.",Computing AVG(line_revenue) on a line-grain file. There is no error message and no visual difference between the correct chart and the incorrect one; Chapter 12 reports $50.41 for the line-grain average against $108.00 for the true chain figure.,"Recompute as total revenue over distinct orders and confirm the two agree. On the practice file: $1,312.00 over 12 orders is $109.33.","Some organizations compute AOV net of returns, and some at gross sales. Both are defensible; state which.","Chapter 5, Section 5.7"
B.3.2,aov_averaged,Average of group average order values (do not use),B.3,Basket and customer value,None. This entry exists so the quantity can be recognized and rejected.,Unweighted mean of each group's AOV,Sum of the group AOVs,Count of groups,As stated,As stated,"One group, equally weighted",Dollars,Group-level AOV,"Reconciles to no total. A group of 40 orders and a group of 40,000 receive equal votes.",Reporting it as the overall figure. On the practice file the metro averages give $129.71 against a true pooled $109.33; Chapter 5's miniature gives $105.00 against a true $82.50.,"The pooled figure and the weighted mean must agree exactly. If a third number appears, it is this one.",,"Chapter 5, Section 5.3"
B.3.3,units_per_order,Units per order (basket size),B.3,Basket and customer value,How many items are in a typical basket?,Sum of quantity / count of distinct order_id,Units on the included lines,Distinct orders on the same lines,Stated period,Stated filters,One order,Units per order,"quantity, order_id","The volume factor of the average-order-value identity. Chapter 5's designed finding is that the suburban gap is basket size and mix, not unit price.","Dividing by lines rather than orders, which understates basket size wherever orders carry more than one line.",Must be at least 1 on a file with no zero-quantity orders. Multiply by revenue per unit and confirm the product is average order value exactly.,,"Chapter 5, Section 5.7"
B.3.4,revenue_per_unit,Revenue per unit (realized price per unit),B.3,Basket and customer value,"What did an item actually sell for, after discount and mix?",Sum of line_revenue / sum of quantity,Net revenue on the included lines,Units on the same lines,Stated period,Stated filters,One unit. The denominator is units - not lines and not orders.,Dollars per unit,"line_revenue, quantity","The price factor of the average-order-value identity. It moves with category mix, discount depth, and promotional participation, not only with list price.","Reading it as a list price. StyleCraft's catalog prices do not differ by store; realized revenue per unit does, because mix does.",Must fall inside the catalog band once discounts are accounted for. Recompute at a common price set to separate mix from price.,,"Chapter 5, Section 5.7"
B.3.5,aov_identity,Average order value decomposition,B.3,Basket and customer value,Is a basket-size gap made of more items or dearer items?,"AOV = units per order x revenue per unit. Exactly, by construction: revenue/orders = units/orders x revenue/units",Not applicable - a multiplicative identity,Not applicable,"Stated period, identical for both factors",Identical for both factors,Order for the composite; order and unit for the two factors,"Ratio factors, not additive shares","line_revenue, quantity, order_id","The identity yields factors that multiply, not percentage shares that add. On the practice file a 2.82x AOV gap between suburban and urban stores factors into a 1.50x basket factor and a 1.88x price factor.",Writing that 'basket size accounts for sixty percent of the gap.' The identity supplies no such allocation; an additive attribution needs a logarithmic decomposition and a stated convention.,The two factors must multiply back to the composite exactly. Assert it rather than eyeballing it.,,"Chapter 5, Section 5.7"
B.3.6,revenue_per_customer,Revenue per customer,B.3,Basket and customer value,What is one customer worth over the window?,Sum of line_revenue / count of distinct customer_id,Net revenue attributed to the counted customers,Distinct customers in the stated population,A stated window. Without one this is a lifetime total wearing a period label.,Stated filters; state whether non-purchasers are inside the denominator,One customer,Dollars per customer,"line_revenue, customer_id","The customer-value counterpart of average order value. Revenue per customer equals AOV times orders per customer, which is where a weak repeat rate taxes a strong basket.","Interchanging it with average order value. Per order and per customer differ by frequency, and the expansion case must be argued on the customer figure.","Confirm the identity: AOV x orders per customer = revenue per customer. On the practice file, $109.33 x 1.5 = $164.00.","Computed over purchasers only, or over the whole customer file including non-purchasers. The two differ materially; name the base.","Chapter 5, Section 5.7"
B.3.7,orders_per_customer,Orders per customer (purchase frequency),B.3,Basket and customer value,How often does a customer buy in the window?,Count of distinct order_id / count of distinct customer_id,Distinct orders,Distinct customers in the stated population,A stated window; the figure is not comparable across windows of different length,Stated filters,One customer,Orders per customer,"order_id, customer_id",The frequency factor between average order value and revenue per customer.,Comparing frequency across customers observed for different lengths of time. A customer who signed up nine weeks ago cannot have accumulated two years of orders; see exposure months.,Must be at least 1 among purchasers. Recompute as the mean of the customer-level order counts and confirm agreement.,,"Chapter 6, Section 6.5"
B.3.8,frequency,Frequency (RFM),B.3,Basket and customer value,How many purchase occasions has this customer had in the window?,Count of distinct order_id for the customer in the window,Distinct orders placed by the customer,None - it is a count,"The declared analysis window, open at the start and closed at the end, measured to a declared analysis date",Customers with at least one order in the window,One customer,Count of orders,"order_id, customer_id, order_date","Counts orders, not lines: an order of five lines is one act of purchasing, not five.","Counting at line grain, which inflates frequency for multi-line baskets and quietly rewards the suburban shopper the analysis is trying to measure.",The sum of customer frequencies must equal the distinct order count of the window.,,"Chapter 6, Section 6.5"
B.3.9,monetary,Monetary value (RFM),B.3,Basket and customer value,How much has this customer spent in the window?,Sum of line_revenue for the customer in the window,Net revenue on the customer's lines,None - it is a total,The declared analysis window,Customers with at least one order in the window,One customer,Dollars,"line_revenue, customer_id, order_date","Strongly right-skewed at StyleCraft, and bounded by how long the customer has been observed.","Comparing monetary totals across customers of very different tenure, which restates the tenure question rather than answering the performance one.",The sum of customer monetary values must equal the window's certified revenue total.,"A common variant uses average order value in place of total revenue. Total rewards frequent modest baskets; average rewards rare large ones. The choice is declared, not defaulted.","Chapter 6, Section 6.5"
B.3.10,recency_days,Recency,B.3,Basket and customer value,How long has it been since this customer last bought?,"Analysis date − the customer's most recent order_date, in days",Elapsed days since the most recent purchase,None - it is a duration,Measured back from a declared analysis date; undefined for a customer who has never purchased,Purchasing population; every order_date must fall on or before the analysis date,One customer,Days,"order_date, customer_id, a declared analysis date","Lower is better, which is why the recency score reverses the raw days.","A negative recency, which is a date defect rather than a customer behavior and means an order is dated after the analysis date.","Assert that every recency is at or above zero, and that the minimum is consistent with the snapshot the features were built at.",,"Chapter 6, Section 6.5"
B.3.11,exposure_months,Exposure months,B.3,Basket and customer value,How long has this customer actually been observable inside the window?,"(Analysis date − the later of signup_date and the window start) in days, divided by 30.44, floored at 1.0 month",Observed days inside the window,"30.44 days per month, then floored at 1.0",The declared analysis window,Purchasing population,One customer,Months,"signup_date, a declared analysis date and window start",A denominator only. It exists so that a customer observed for nine days does not appear to have a stable monthly rate.,"Flooring the day count rather than the months, which produces a minimum of 0.986 rather than 1.0 and lets a near-zero denominator through.",Assert the minimum is exactly 1.0.,,"Chapter 6, Section 6.6"
B.3.12,orders_per_month,Orders per month,B.3,Basket and customer value,"How often does this customer buy, adjusted for how long we have watched?",frequency / exposure_months,Distinct orders in the window,Exposure months,The declared analysis window,Purchasing population,One customer,Orders per month,"frequency, exposure_months",Reduces the mechanical effect of tenure on frequency. It does not eliminate it from a specification that still contains the raw totals.,"Treating it as independent of frequency. It is frequency divided by a constant-per-customer denominator, and standardization does not remove that redundancy.",Least stable for customers observed shortest; report the exposure distribution beside it.,,"Chapter 6, Section 6.6"
B.3.13,revenue_per_month,Revenue per exposure-month,B.3,Basket and customer value,What does this customer spend per month of observed relationship?,monetary / exposure_months,Net revenue in the window,Exposure months,The declared analysis window,Purchasing population,One customer,Dollars per month,"monetary, exposure_months",The measure on which a short-tenured segment stops looking weak. A segment can trail badly on lifetime revenue and lead on revenue per month of exposure.,"Aggregating it to segment level by averaging the customer-level ratios, which gives a $40 customer and a $1,000 customer equal votes. Pool the numerators and denominators instead, or say plainly that the figure is a mean of ratios.","State which aggregation was used, and use the same one for every ratio in the same exhibit.",,"Chapter 6, Section 6.6"
B.3.14,discount_share,Discount share,B.3,Basket and customer value,How much of this customer's spending came on discounted merchandise?,Revenue on lines with discount_pct greater than 0 / monetary,Net revenue on the customer's discounted lines,The customer's total net revenue in the window,The declared analysis window,"Discounted lines are those with discount_pct greater than 0; the roll-up is at line grain, because an order mixing a discounted dress with a full-price scarf is one order and two different facts",One customer,Proportion between 0 and 1,"line_revenue, discount_pct, customer_id","A margin proxy at customer level. A customer with no discounted lines has a share of exactly 0, which is data rather than missingness.","Computing it at order grain, which assigns a whole mixed basket to one side.","Bounded in [0, 1] with a small tolerance, since shares summed from rounded line revenue can land a fraction above one in floating point.",,"Chapter 6, Section 6.6"
B.3.15,store_share,Store share,B.3,Basket and customer value,How much of this customer's buying happens in physical stores?,Distinct orders with channel of Store / frequency,The customer's distinct store-channel orders,The customer's distinct orders in the window,The declared analysis window,Channel is read at order grain; the build asserts one channel per order,One customer,Proportion between 0 and 1,"channel, order_id, customer_id",Separates the store-only occasion shopper from the digital-first core.,"Taking the first channel of a multi-channel order, which manufactures a consistent order out of an inconsistent one.","Bounded in [0, 1]. Assert that no order carries two channels before computing it.",,"Chapter 6, Section 6.6"
B.3.16,occasionwear_share,Occasionwear share,B.3,Basket and customer value,How much of this population's buying is occasionwear?,Occasionwear units / total units for the unit-weighted form; occasionwear revenue / total revenue for the revenue-weighted form,"Units, or revenue, on lines flagged is_occasionwear","Total units, or total revenue, on the same lines",Stated period,Requires a validated many-to-one join to products; an unmatched line has no flag and must not be silently counted as not occasionwear,"Stated population - customer, metro, or store",Proportion,"quantity or line_revenue, is_occasionwear, product_id",The mix term behind the suburban price factor. On the practice file the suburban store share is 0.500 against 0.000 urban.,Quoting 'occasionwear is 60 percent of suburban sales' without saying whether sales means units or revenue. The two differ whenever occasionwear prices differ from the rest.,"Bounded in [0, 1]. Confirm the join produced no unmatched lines before trusting the denominator.",,"Chapter 5, Section 5.7"
B.3.17,decile_share,Revenue share by decile,B.3,Basket and customer value,How concentrated is revenue across customers?,"Decile revenue / total revenue in the window, over customers ranked by revenue and cut into ten equal-count groups",Revenue of the customers in the decile,"Total revenue in the window, across the ranked population",A stated window - the interval is open at the start and closed at the end; concentration is window-dependent and the window belongs in the sentence,Customers with a resolved customer_id who were active in the window; ties broken deterministically so the cut is reproducible,One decile of customers,Proportion of revenue,"line_revenue, customer_id, order_date","Decile 1 is the highest-revenue tenth. A top-decile share well above ten percent is the ordinary finding, not a surprising one.","Quoting a top-decile share from a short window. Measured concentration is inflated by observation error over short windows, so a 30-day decile share is not comparable with a trailing-twelve-month one.",The deciles must partition: customer counts sum to the ranked population and decile revenues sum to the window total.,"The Pareto shorthand - the top 20 percent account for X percent - is the same construction at a different cut. The true split is rarely the folkloric 80/20, and it varies meaningfully by category and window (Schmittlein et al., 1993).","Chapter 5, Section 5.9"
B.4.1,repeat_purchase_rate,Repeat purchase rate,B.4,Retention and customer relationship,What share of customers came back?,Customers with two or more orders in the window / customers eligible in the window,Customers with two or more completed orders in the window,Customers with at least one order in the window,"Trailing twelve months to a declared analysis date, bounded at both ends. A one-sided filter makes the reported rate depend on the day the notebook happens to run.",All channels. The headline definition applies no channel filter.,One customer,Proportion,"order_id, customer_id, order_date","StyleCraft's headline retention measure and the baseline of the expansion review, owned by the CRM manager. Customers acquired late in the window have had little time to repurchase, a mechanical depressant a same-age cohort comparison is designed to remove.","Quoting the name without the definition. Three defensible definitions of this phrase circulate at StyleCraft and produce 0.60, 0.43, and 0.20 on the same eighteen orders.","Bounded in [0, 1]. Hand-count the numerator and denominator on a small file: on Chapter 3's preview, three repeaters over seven active customers is 0.43.","Lifetime: two or more orders ever, over all customers with at least one completed order in the available history - 0.60 on the preview, and unresponsive to current behavior. Store-only: the same window restricted to the store channel in both numerator and denominator - 0.20 on the preview, and the right measure for the economics of the physical footprint. Report the store version beside the headline rather than instead of it.","Chapter 3, Section 3.10.3"
B.4.2,repeat_order_share,Repeat-order share,B.4,Retention and customer relationship,What share of orders were placed by customers who had bought before?,Orders placed after the customer's first purchase date / distinct orders,Orders whose order_date is later than the customer's first purchase date,Distinct orders in the population,"Stated period; the first purchase date is computed on full history, before any date filter, so that trimming a partial month does not manufacture first purchases","The go/no-go dashboard excludes the reserved ONLINE store, because the comparison is across physical store types",One order,Percentage,"order_id, customer_id, order_date","An order-grain measure. On the practice file it is 4 of 12, or 33.3 percent, against a customer-grain repeat purchase rate of 37.5 percent on the same file.","Labelling it 'returning-customer share'. It is not the share of customers who returned, and the obvious name invites a customer-level reading the metric does not support. Because order_date carries a date rather than a timestamp, every order placed on a customer's first purchase date is classified as a first-day order.","Bounded in [0, 1]. Confirm the chain figure is computed on the pooled denominator; Chapter 12 reports a chain share of 47 percent against an unweighted mean of the four store-type rates of 34 percent.",,"Chapter 12, Section 12.13.2"
B.4.3,churn_rate_descriptive,Churn rate (descriptive),B.4,Retention and customer relationship,What share of a stated customer population went quiet?,Customers inactive by a stated rule / the stated customer population,Customers meeting the stated inactivity rule,The stated eligible population,A stated observation window,A stated eligibility rule,One customer,Proportion,"order_id, customer_id, order_date","Descriptive bookkeeping. Churn is not naturally observed in a non-contractual business; it is operationalized, and different defensible rules produce different populations.",Presenting a descriptive churn rate as though it measured departure. It measures silence under one rule.,"Bounded in [0, 1]. State the rule and the window in the same sentence as the number.",,"Chapter 5, Section 5.7"
B.4.4,churn_label,Churn label,B.4,Retention and customer relationship,"Which customers are to be treated as having churned, for modeling?",churned = 1 for an eligible customer with zero completed purchase orders in the outcome window,Customers with no outcome-window purchase order,"None - it is a per-customer flag, not a rate",A six-month outcome window following a declared snapshot date; the feature window ends at the snapshot and both ends of each window are enforced,"Both conditions: signup_date on or before the snapshot, and at least one purchase inside the feature window, so that every labeled customer has a history to be scored on",One customer,Binary flag,"order_id, customer_id, order_date, signup_date",A measurement decision before it is a modeling one. Shortening the outcome window inflates the base rate with mid-cadence occasion shoppers; lengthening it purifies the label but treats customers too late to save.,"Defining churn as zero net revenue rather than zero purchase activity. An order can net to zero after a discount and a returned line, so the two events are not the same and a revenue-based label mislabels them.","Reconcile against the shipped answer key. Where activity and revenue definitions disagree, the disagreement is a finding about the revenue column rather than a bug in the label.","A 90-day or 12-month outcome window, and activity redefined to include an app open or an email click, are each defensible and each produce a different base rate and a different treated population.","Chapter 9, Section 9.3"
B.4.5,cohort_retention,Cohort retention rate (period-active),B.4,Retention and customer relationship,"Of the customers who started together, how many were active at a given age?",Customers in the cohort active in period p / cohort size,Distinct customers in the cohort with at least one order in that calendar period,Cohort size - the customers whose first order fell in the cohort's own period,"Periods measured from each cohort's own start, with an observability mask so that unreached periods stay missing rather than becoming zero","Deduplicated on customer and period, so a customer with three orders in a month counts once",One cohort in one period since its start,Percentage,"order_id, customer_id, order_date","A period-active rate can rise as well as fall, because a customer who skipped a month can return.",Reading a blank cell as zero. Elapsed but inactive is 0.0; not yet reached is missing. A table that does not distinguish the two cannot be read down a column.,Period zero must be 1.0 for every cohort; cohort sizes must sum to the distinct customer count; no cell may exceed 1.0.,A survival retention rate holds the share retained continuously and is non-increasing by construction. A table that does not say which form it is cannot be read.,"Chapter 5, Section 5.8"
B.4.6,cohort_size,Cohort size,B.4,Retention and customer relationship,How many customers started together?,Count of customers whose first order fell in the cohort period,Distinct customers with a first order in the period,None - it is a count,The cohort's own defining period,Stated acquisition filters,One cohort,Count of customers,"customer_id, order_date","Read down the left edge of every cohort table. A triumphant retention story over shrinking cohorts is two findings, not one.",Presenting retention percentages without the sizes that produced them.,Cohort sizes must sum to the distinct customer count of the population.,,"Chapter 5, Section 5.8"
B.4.7,tenure_days,Tenure,B.4,Retention and customer relationship,How long has this person been a customer?,"Analysis date − signup_date, in days",Elapsed days since signup,None - it is a duration,Measured to a declared analysis or snapshot date,None beyond the stated population,One customer,Days,"signup_date, a declared analysis date",The variable behind most apparent differences between new and established markets. Chapter 9's fairness screen exists because a new store's customers look unresponsive largely because they are new.,Reading a tenure artifact as a value verdict. A lifecycle position is not a quality judgment.,Tenure must be at least recency for every customer; a violation indicates a broken join rather than an unusual customer.,,"Chapter 6, Section 6.6"
B.4.8,time_to_second,Time to second purchase,B.4,Retention and customer relationship,How long does it take a new customer to come back?,Days between a customer's first and second order_date,Elapsed days between the two orders,None - it is a duration,"Measured from each customer's own first order, to a declared analysis date","Customers with at least two orders; customers with only one are censored, not missing, and must be reported as such",One customer,Days,"order_id, customer_id, order_date","Averaging only over customers who did come back understates the true wait, because the customers who never returned are the slowest of all.",Reporting a mean over repeaters as though it described the base. State the share of customers with no second purchase in the same sentence.,Report the censored share beside the statistic.,,"Chapter 5, Section 5.7"
B.5.1,impressions,Impressions,B.5,"Acquisition, media, and campaign",How many times was the advertising served?,"Count of served impressions, as reported by the platform",Impressions recorded by the serving platform,None - it is a count,The campaign window,"One campaign, or a stated roll-up of campaigns",One campaign,Count,impressions,"A delivery count, not a count of people. Impressions are not reach.","Using impressions as the denominator of a conversion rate, which mixes a served-advertising count with a customer count and produces a number that is not a funnel stage.",Must be at least the click count on the same campaign.,,"Chapter 1, Section 1.10"
B.5.2,clicks,Clicks,B.5,"Acquisition, media, and campaign",How many times did someone click through?,Count of recorded clicks,Clicks recorded by the serving platform,None - it is a count,The campaign window,"One campaign, or a stated roll-up",One campaign,Count,clicks,"Serves as numerator of click-through rate and denominator of post-click conversion rate, which is why its definition has to travel with both.","Treating clicks as unique people. Unless the platform de-duplicates, a click count is an event count.",Must be no greater than impressions and at least the conversion count.,,"Chapter 1, Section 1.10"
B.5.3,ctr,Click-through rate (CTR),B.5,"Acquisition, media, and campaign",How well did the creative earn attention from the advertising served?,clicks / impressions,Clicks,Impressions,The campaign window,"One campaign, or a stated pooled roll-up; a campaign with zero impressions has an undefined rate, not an infinite one",One campaign,Proportion,"clicks, impressions",A creative and targeting measure. It says nothing about what happened after the click.,Averaging campaign click-through rates to get a portfolio figure. Recompute from pooled totals: on Chapter 1's four campaigns the pooled rate is 0.0500.,"Bounded in [0, 1]. A rate above 1 means clicks exceed impressions somewhere and the numerator and denominator have been reversed or the join has duplicated.",,"Chapter 1, Section 1.10"
